2024-04-30 03:34:29,811 INFO    MainThread:1423720 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_setup.py:_flush():76] Configure stats pid to 1423720
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_setup.py:_flush():76] Loading settings from /workspace/nathan/RWKV-LM/RWKV-v5/wandb/settings
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/workspace/nathan/RWKV-LM/RWKV-v5/train.py', 'program': '/workspace/nathan/RWKV-LM/RWKV-v5/train.py'}
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_init.py:_log_setup():521] Logging user logs to ./wandb/run-20240430_033429-4pvo62k3/logs/debug.log
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_init.py:_log_setup():522] Logging internal logs to ./wandb/run-20240430_033429-4pvo62k3/logs/debug-internal.log
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_init.py:init():561] calling init triggers
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_init.py:init():611] starting backend
2024-04-30 03:34:29,812 INFO    MainThread:1423720 [wandb_init.py:init():615] setting up manager
2024-04-30 03:34:29,813 INFO    MainThread:1423720 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-30 03:34:29,814 INFO    MainThread:1423720 [wandb_init.py:init():623] backend started and connected
2024-04-30 03:34:29,815 INFO    MainThread:1423720 [wandb_init.py:init():715] updated telemetry
2024-04-30 03:34:29,820 INFO    MainThread:1423720 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-30 03:34:30,456 INFO    MainThread:1423720 [wandb_run.py:_on_init():2357] communicating current version
2024-04-30 03:34:30,558 INFO    MainThread:1423720 [wandb_run.py:_on_init():2366] got version response 
2024-04-30 03:34:30,558 INFO    MainThread:1423720 [wandb_init.py:init():799] starting run threads in backend
2024-04-30 03:34:30,881 INFO    MainThread:1423720 [wandb_run.py:_console_start():2335] atexit reg
2024-04-30 03:34:30,881 INFO    MainThread:1423720 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-30 03:34:30,881 INFO    MainThread:1423720 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-30 03:34:30,881 INFO    MainThread:1423720 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-30 03:34:30,882 INFO    MainThread:1423720 [wandb_init.py:init():842] run started, returning control to user process
2024-04-30 03:34:35,828 WARNING MsgRouterThr:1423720 [router.py:message_loop():77] message_loop has been closed
